Lineales,Interacciones,MAE
"['edad_padre', 'edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8773927760728426
"['edad_padre', 'edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8773927760728427
"['edad_padre', 'edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8773993191147503
"['edad_padre', 'edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8773993191147508
"['edad_padre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.877399319114751
"['edad_padre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8773993191147511
"['aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8774095744974116
"['edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8774095744974131
"['edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8774095744974131
"['visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8774095744974132
"['edad_padre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8774978218778435
"['edad_padre', 'edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8774978218778435
"['edad_padre', 'edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8774978218778435
"['edad_padre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8774978218778436
"['edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8775355879111916
"['edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8775355879111917
"['edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8775355879111917
"['edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8775355879111919
"['edad_padre', 'edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8775424162991119
"['edad_padre', 'edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8775424162991123
"['edad_padre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8775424162991127
"['edad_padre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8775424162991136
"['aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8775449443475474
"['edad_padre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8775449443475475
"['edad_padre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8775449443475477
"['visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8775449443475477
"['aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8775896506278837
"['edad_padre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8775896506278837
"['visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8775896506278837
"['edad_padre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8775896506278837
"['madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8776284307047169
"['edad_padre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8776284307047169
"['edad_padre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8776284307047169
"['madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8776284307047172
"['edad_padre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8776475631785898
"['edad_padre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8776475631785898
"['edad_padre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8776475631785898
"['edad_padre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8776475631785898
"['madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8777136538909253
"['madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8777136538909253
"['edad_padre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8777136538909253
"['edad_padre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8777136538909254
"['edad_padre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8778058174382429
